ID,Form_ID,Cognateset_ID,Segment_Slice,Alignment,Source
mac-502_2,mac-502,pl3,3,- - ʔ -,
mac-502_3,mac-502,pl1,4,k o n -,
mac-503_0,mac-503,toto,1,t o ʔ -,
pem-508_0,pem-508,1,1,- j uu,
pem-508_1,pem-508,emp,2,r ə,
pem-508_2,pem-508,pl3,3,t o - -,
pem-508_3,pem-508,pl1,4,k o n -,
pem-509_0,pem-509,toto,1,t o ʔ -,
PPar-517_0,PPar-517,1a2,1,k ɨ,
PPar-517_2,PPar-517,emp,3,r o,
PPar-518_0,PPar-518,ainan,1,i r o,
PPem-519_0,PPem-519,minan,1,m ə r ə,
PPem-520_0,PPem-520,pinan1,1,- s ə r ə -,
PWai-521_0,PWai-521,1a2,1,k ɨ,
PWai-521_1,PWai-521,wform,2,w ɨ,
PWai-521_2,PWai-521,emp,3,r o,
PWai-522_0,PWai-522,ainan,1,ɨ r o,
tri-523_1,tri-523,pl2,2,j a - m o,
tri-524_0,tri-524,pinan1,1,- s e r ə -,
tri-524_1,tri-524,pl3,2,t o m o,
tri-525_0,tri-525,pinan2,1,s - e n - -,
tri-525_1,tri-525,pl3,2,t o m o,
uxc-529_1,uxc-529,danim,2,- e - k - -,
wai-530_0,wai-530,danim,1,m o - - - -,
wai-530_1,wai-530,pl2,2,ʃ a - m -,
wai-531_0,wai-531,pinan2,1,- - o n - -,
way-533_0,way-533,toto,1,t o t o,
PPek-541_0,PPek-541,dinan,1,m ə n -,
PPar-542_0,PPar-542,danim,1,m o - k - -,
PPar-542_1,PPar-542,pl2,2,j a - m o,
PPar-542_2,PPar-542,emp,3,r o,
PPar-543_0,PPar-543,pinan2,1,- - o n ɨ -,
PC-544_0,PC-544,1a3,1,a - - i p n a,
PC-545_0,PC-545,1a2,1,k ɨ,
PC-546_0,PC-546,1a2,1,k ɨ,
PC-546_2,PC-546,pl2,3,j a - m o,
PC-547_0,PC-547,aanim,1,i n ə r ə,
PC-548_0,PC-548,aanim,1,i n - - -,
PC-548_1,PC-548,pl2,2,j a - m o,
PC-549_0,PC-549,ainan,1,i r ə,
PC-550_0,PC-550,panim,1,m ə t j ə,
PC-551_0,PC-551,panim,1,m ə t j -,
PC-551_1,PC-551,pl2,2,- a - m o,
PC-552_0,PC-552,pinan1,1,t j ə r ə -,
PC-553_0,PC-553,pinan2,1,t j ə n ɨ -,
PC-554_0,PC-554,minan,1,m ə r ə,
PC-555_0,PC-555,danim,1,m ə - k ɨ -,
PC-556_0,PC-556,danim,1,m ə - k - -,
PC-556_1,PC-556,pl2,2,j a - m o,
PC-557_0,PC-557,dinan,1,m ə n ɨ,
hix-pl-2_0,hix-pl-2,pl2,1,j a - m o,
