"Language_ID","Form","Parameter_ID","Cognateset_ID","Cognates","Source","Comments"
"apa","ɨnoro","3ANA.ANIM","3ANA.ANIM","a.anim","koehn1986apalai[95]",
"car","nərə","3ANA.ANIM","3ANA.ANIM","a.anim","guerrero2019carijo[86]",
"hix","noro","3ANA.ANIM","3ANA.ANIM","a.anim","hixkaryanaderby1985[7]",
"kar","inoro","3ANA.ANIM","3ANA.ANIM","a.anim","courtz2008carib[53]",
"kax","noro","3ANA.ANIM","3ANA.ANIM","a.anim",,
"mak","ɲəərə","INVIS.ANIM","3ANA.ANIM","a.anim","maquiritaricaceres2011[122]",
"PPar","noro","3ANA.ANIM","3ANA.ANIM","a.anim",,
"PTar","nə(ə)rə","3ANA.ANIM","3ANA.ANIM","a.anim","meira1998proto[67]",
"PWai","noro","3ANA.ANIM","3ANA.ANIM","a.anim",,
"tri","nərə","3ANA.ANIM","3ANA.ANIM","a.anim","triomeira1999[154]",
"uxc","ɨŋele","3ANA.ANIM","3ANA.ANIM","a.anim","kuikurodossantos2007[55]",
"wai","noro","3ANA.ANIM","3ANA.ANIM","a.anim",,
"way","inərə(+rə)","3ANA.ANIM","3ANA.ANIM","a.anim+EMP","wayanatavares2005[183]",
"ing","kɨ+rə(+rə)","3ANA.ANIM","MED.ANIM","d.anim+EMP+EMP","cruz2005fonologia[162]",
"ing","kamo(+ro)","3ANA.ANIM.PL",,"?+EMP","cruz2005fonologia[191]",
"apa","ɨnaro","3ANA.ANIM.PL","3ANA.ANIM.PL","a.anim","koehn1986apalai[95]",
"kar","inaro(+n)","3ANA.ANIM.PL","3ANA.ANIM.PL","a.anim+?","courtz2008carib[53]","Final /n/ only in eastern Surinamese."
"PTar","n+amo","3ANA.ANIM.PL","3ANA.ANIM.PL","a.anim+PL-2","meira1998proto[67]",
"tri","n+amo","3ANA.ANIM.PL","3ANA.ANIM.PL","a.anim+PL-2","triomeira1999[154]",
"car","n+amo+ro","3ANA.ANIM.PL","3ANA.ANIM.PL","a.anim+PL-2+EMP","guerrero2019carijo[86]",
"hix","ɲ+amo+ro","3ANA.ANIM.PL","3ANA.ANIM.PL","a.anim+PL-2+EMP","hixkaryanaderby1985[7]",
"wai","ɲe+ʃam+ro","3ANA.ANIM.PL","3ANA.ANIM.PL","a.anim+PL-2+EMP",,
"way","in+amo+ro","3ANA.ANIM.PL","3ANA.ANIM.PL","a.anim+PL-2+EMP","wayanatavares2005[183]",
"apa","sero+ʔne","3ANA.ANIM.PL","PROX.INAN.PL","p.inan-1+PL-4","koehn1986apalai[95]",
"ing","toʔ","3ANA.ANIM.PL",,"toto","cruz2005fonologia[162]",
"way","tot(o)","3ANA.ANIM.PL",,"toto","wayanatavares2005[183]",
"kax","n+amo+r+jamɨ","3ANA.ANIM.PL","3ANA.ANIM.PL","a.anim+PL-2+EMP+PL-2",,
"mak","(n)+ɲanno","INVIS.ANIM.PL","3ANA.ANIM.PL",,"maquiritaricaceres2011[122]; maquiritarihall1988[50]",
"uxc","(ɨ)naɣo","3ANA.ANIM.PL","3ANA.ANIM.PL",,"kuikurodossantos2007[55]",
"apa","ɨro","3ANA.INAN","3ANA.INAN","a.inan","koehn1986apalai[95]",
"car","irə","3ANA.INAN","3ANA.INAN","a.inan","guerrero2019carijo[86]",
"way","irə","3ANA.INAN","3ANA.INAN","a.inan","meira2002first[266]",
"aku","irə","3ANA.INAN","3ANA.INAN","a.inan","meira2002first[266]",
"bak","ilə","3ANA.INAN","3ANA.INAN","a.inan","meiraDBbakairi",
"uxc","ile","3ANA.INAN","3ANA.INAN","a.inan","kuikurodossantos2007[57]",
"hix","ɨro","3ANA.INAN","3ANA.INAN","a.inan","hixkaryanaderby1985[7]",
"wmr","irɨ","3ANA.INAN","3ANA.INAN","a.inan","waimiribruno2003[77]",
"kar","iro","3ANA.INAN","3ANA.INAN","a.inan","courtz2008carib[53]",
"kax","iro","3ANA.INAN","3ANA.INAN","a.inan",,
"mak","ijə","3ANA.INAN","3ANA.INAN","a.inan","maquiritaricaceres2011[122]",
"PTar","irə","3ANA.INAN","3ANA.INAN","a.inan","meira1998proto[67]",
"tri","irə","3ANA.INAN","3ANA.INAN","a.inan","triomeira1999[154]",
"apa","sero","3ANA.INAN","PROX.INAN","p.inan-1","koehn1986apalai[95]",
"kax","iro+nne","3ANA.INAN.PL","3ANA.INAN.PL","a.inan+?",,
"kar","iro+kon","3ANA.INAN.PL","3ANA.INAN.PL","a.inan+PL-1","courtz2008carib[53]",
"apa","mokɨ","DIST.ANIM","DIST.ANIM","d.anim","koehn1986apalai[95]",
"car","məkə","DIST.ANIM","DIST.ANIM","d.anim","guerrero2019carijo[86]",
"hix","mokɨ","DIST.ANIM","DIST.ANIM","d.anim","hixkaryanaderby1985[7]",
